"field","value"
"worker_invocations_used","1"
"max_worker_invocations","2"
"worker_role","builder_worker"
"mission_id","thousand-sunny-fleet-20260709183243"
"command_shape","codex exec -c service_tier=fast --sandbox workspace-write --ephemeral --cd <TSF repo> --output-last-message <scratch-output-file> --json -"
"service_tier_fast_used","true"
"sandbox_workspace_write_used","true"
"ignore_user_config_used","false"
"danger_full_access_used","false"
"codex_exit_code","0"
"worker_status","CODEX_CLI_BOUNDED_SELF_CONTINUATION_GREEN"
"files_touched","tests/fixtures/fleet/project-main-bot/self-continuation/worker-output/main_bot_builder_result.txt"
"unexpected_touched_files",""
"api_called","false"
"background_runner_started","false"
"product_repos_mutated","false"
"canonical_nwr_mutated","false"
