"path","artifact_type","phase"
"docs/hq/pack_and_go_autonomous_deployment_v1/codex_cli_config_gate/CODEX_CLI_CONFIG_GATE_V1.md","review_packet","phase1"
"docs/hq/pack_and_go_autonomous_deployment_v1/codex_cli_config_gate/codex_cli_config_before_after_redacted.json","evidence","phase1"
"docs/hq/pack_and_go_autonomous_deployment_v1/codex_cli_config_gate/codex_cli_config_gate_validation.json","validation","phase1"
"docs/hq/pack_and_go_autonomous_deployment_v1/codex_cli_config_gate/codex_cli_config_stop_conditions.csv","stop_conditions","phase1"
"docs/hq/pack_and_go_autonomous_deployment_v1/fixture_worker_lifecycle_pilot/FIXTURE_WORKER_LIFECYCLE_PILOT_V1.md","review_packet","phase2"
"docs/hq/pack_and_go_autonomous_deployment_v1/fixture_worker_lifecycle_pilot/fixture_worker_files_touched.csv","evidence","phase2"
"docs/hq/pack_and_go_autonomous_deployment_v1/fixture_worker_lifecycle_pilot/fixture_worker_invocation_log.csv","evidence","phase2"
"docs/hq/pack_and_go_autonomous_deployment_v1/fixture_worker_lifecycle_pilot/fixture_worker_lifecycle_validation.json","validation","phase2"
"docs/hq/pack_and_go_autonomous_deployment_v1/fixture_worker_lifecycle_pilot/fixture_worker_preservation_packet/README.md","preservation_packet","phase2"
"tools/Invoke-TsfProjectMainBotSelfContinuation.ps1","tool","phase3"
"fleet/control/project-main-bot-self-continuation-policy.v1.json","policy","phase3"
"docs/hq/pack_and_go_autonomous_deployment_v1/main_bot_self_continuation/MAIN_BOT_SELF_CONTINUATION_V1.md","docs","phase3"
"tests/fixtures/fleet/project-main-bot/self_continuation/hard-gate.request.json","fixture","phase3"
"tests/fixtures/fleet/project-main-bot/self_continuation/safe-local.request.json","fixture","phase3"
"tests/run-tsf-main-bot-self-continuation-tests.ps1","test","phase3"
"tools/Move-TsfMissionState.ps1","tool","phase4"
"fleet/control/mission-queue-state-policy.v1.json","policy","phase4"
"fleet/missions/blocked_needs_tim/.gitkeep","queue_state","phase4"
"fleet/missions/complete_ready_for_gate/.gitkeep","queue_state","phase4"
"fleet/missions/complete_review_only/.gitkeep","queue_state","phase4"
"fleet/missions/inbox/.gitkeep","queue_state","phase4"
"fleet/missions/postrun_pending/.gitkeep","queue_state","phase4"
"fleet/missions/preflight_pending/.gitkeep","queue_state","phase4"
"fleet/missions/stopped/.gitkeep","queue_state","phase4"
"fleet/missions/worker_running/.gitkeep","queue_state","phase4"
"tests/fixtures/fleet/mission-queue/sample-mission.json","fixture","phase4"
"tests/run-tsf-mission-queue-tests.ps1","test","phase4"
"fleet/control/parallel-lane-plan.schema.v1.json","schema","phase5"
"tools/Test-TsfParallelLanePlan.ps1","tool_update","phase5"
"docs/hq/pack_and_go_autonomous_deployment_v1/parallel_lane_dry_run/PARALLEL_LANE_DRY_RUN_V1.md","docs","phase5"
"tests/fixtures/fleet/project-main-bot/parallel_lane_plans/true-parallel-plan.collision.json","fixture","phase5"
"tests/fixtures/fleet/project-main-bot/parallel_lane_plans/true-parallel-plan.valid.json","fixture","phase5"
"tests/run-tsf-parallel-lane-dry-run-tests.ps1","test","phase5"
"docs/hq/pack_and_go_autonomous_deployment_v1/operator_console_skeleton_decision/OPERATOR_CONSOLE_SKELETON_DECISION_V1.md","decision_packet","phase6"
"fleet/control/hq-api-cost-guardrail-policy.v1.json","policy","phase7"
"docs/hq/pack_and_go_autonomous_deployment_v1/HQ_API_COST_GUARDRAIL_POLICY_V1.md","policy_doc","phase7"
"docs/hq/pack_and_go_autonomous_deployment_v1/DEPLOYMENT_PATH_STATUS_AFTER_PACK_AND_GO_V1.md","status","phase8"
"docs/hq/pack_and_go_autonomous_deployment_v1/NEXT_STEPS_AFTER_PACK_AND_GO_V1.md","next_steps","phase8"
"docs/hq/pack_and_go_autonomous_deployment_v1/PACK_AND_GO_AUTONOMOUS_DEPLOYMENT_V1_REPORT.md","final_packet","phase8"
"docs/hq/pack_and_go_autonomous_deployment_v1/pack_and_go_autonomous_deployment_validation.json","validation","phase8"
"docs/hq/pack_and_go_autonomous_deployment_v1/pack_and_go_commit_log.csv","commit_log","phase8"
"docs/hq/pack_and_go_autonomous_deployment_v1/pack_and_go_file_manifest.csv","manifest","phase8"
"docs/hq/pack_and_go_autonomous_deployment_v1/pack_and_go_stop_conditions.csv","stop_conditions","phase8"
